,parameter,equilibrium,nature,complex_eigenvalues,resilience,reactivity,real_eigen_zero,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4
1,1.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999999
2,2.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999998
3,3.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999997
4,4.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999996
5,5.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999995
6,6.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999994
7,7.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999993
8,8.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999992
9,9.00E-10,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999991
10,1.00E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799999
11,1.10E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999989
12,1.20E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999988
13,1.30E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999987
14,1.40E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999986
15,1.50E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999985
16,1.60E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999984
17,1.70E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999983
18,1.80E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999982
19,1.90E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999981
20,2.00E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799998
21,2.10E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999979
22,2.20E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999978
23,2.30E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999977
24,2.40E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999976
25,2.50E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999975
26,2.60E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999974
27,2.70E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999973
28,2.80E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999972
29,2.90E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999971
30,3.00E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799997
