"","time","P","V","Pv","I","gamma_out","lambda_out"
"1",0,1,1e-04,0,0,2.5e-07,0.025
"2",0.1,0.960780144794278,0.000233521898782029,2.66569700557703e-07,4.67382787112856e-11,2.5e-07,0.025
"3",0.2,0.923091072683544,0.000351137641240393,5.37516022314522e-07,9.42927437144808e-11,2.5e-07,0.025
"4",0.3,0.88687840983481,0.000454193472718154,7.7977382680723e-07,1.36795569314431e-10,2.5e-07,0.025
"5",0.4,0.852098077167666,0.000543735869988712,9.82429399910125e-07,1.72350814993476e-10,2.5e-07,0.025
"6",0.5,0.81869045502529,0.00062113691104895,1.1397502695133e-06,1.9995236263766e-10,2.5e-07,0.025
"7",0.6,0.786592901190258,0.000687778902060711,1.25389263094616e-06,2.19978345996575e-10,2.5e-07,0.025
"8",0.7,0.755752434318164,0.000744738345337679,1.33554908974543e-06,2.34304896732142e-10,2.5e-07,0.025
"9",0.8,0.726120309766384,0.000792944071388184,1.39245617862286e-06,2.44289395919558e-10,2.5e-07,0.025
"10",0.9,0.69764977638356,0.00083324255652778,1.42793390305115e-06,2.50514224884154e-10,2.5e-07,0.025
"11",1,0.670295574845225,0.000866414702031018,1.44422877261997e-06,2.53373492686828e-10,2.5e-07,0.025
"12",1.1,0.644013992779062,0.00089317785357093,1.44436602407886e-06,2.53398009831023e-10,2.5e-07,0.025
"13",1.2,0.618762750287421,0.000914194958593993,1.43166396595829e-06,2.51169954048106e-10,2.5e-07,0.025
"14",1.3,0.594501349734991,0.000930064581937992,1.40895594217528e-06,2.47186352524275e-10,2.5e-07,0.025
"15",1.4,0.571191183668064,0.000941319867269876,1.37831857119907e-06,2.41811532541635e-10,2.5e-07,0.025
"16",1.5,0.54879508975505,0.000948450011551325,1.34114275735273e-06,2.35289656956281e-10,2.5e-07,0.025
"17",1.6,0.527277213173687,0.000951906430689193,1.29877490553984e-06,2.27856958005927e-10,2.5e-07,0.025
"18",1.7,0.50660305972935,0.000952101003882165,1.25274809268502e-06,2.19782121357043e-10,2.5e-07,0.025
"19",1.8,0.486739516726319,0.000949406537700191,1.20435876586203e-06,2.11292545059205e-10,2.5e-07,0.025
"20",1.9,0.467654801185184,0.000944160471741788,1.15436920193718e-06,2.02522532405232e-10,2.5e-07,0.025
"21",2,0.449318383853824,0.000936669095037045,1.10329530227701e-06,1.93562764173219e-10,2.5e-07,0.025
"22",2.1,0.43170092635497,0.000927210706892694,1.05179600130315e-06,1.84527761549887e-10,2.5e-07,0.025
"23",2.2,0.414774235502623,0.000916037854026924,1.00056427287298e-06,1.75539092486299e-10,2.5e-07,0.025
"24",2.3,0.398511224344328,0.000903379220519205,9.49976857696706e-07,1.66664438442522e-10,2.5e-07,0.025
"25",2.4,0.382885869270741,0.000889441762236863,9.00311970971733e-07,1.57951126893533e-10,2.5e-07,0.025
"26",2.5,0.367873167984267,0.000874412614495781,8.51815917287643e-07,1.49443018543664e-10,2.5e-07,0.025
"27",2.6,0.353449098696379,0.000858460839852238,8.04708775793199e-07,1.41178553342207e-10,2.5e-07,0.025
"28",2.7,0.339590584258821,0.000841738885173261,7.59161586766031e-07,1.33187760072745e-10,2.5e-07,0.025
"29",2.8,0.326275452251212,0.000824384138760909,7.15287508239916e-07,1.25490492659479e-10,2.5e-07,0.025
"30",2.9,0.313482394215394,0.00080652046599228,6.73155471881557e-07,1.18098844988934e-10,2.5e-07,0.025
"31",3,0.301190935495314,0.000788259229887796,6.32815385019061e-07,1.11021573136533e-10,2.5e-07,0.025
"32",3.1,0.289381407996065,0.00076970016729114,5.94299345785307e-07,1.04264310001094e-10,2.5e-07,0.025
"33",3.2,0.27803491789454,0.000750932451286055,5.57611746824999e-07,9.78278268784071e-11,2.5e-07,0.025
"34",3.3,0.267133311649855,0.000732035781832402,5.22734242867272e-07,9.17089042667712e-11,2.5e-07,0.025
"35",3.4,0.256659145687263,0.000713081277413713,4.89639819858476e-07,8.59028041813422e-11,2.5e-07,0.025
"36",3.5,0.246595659878628,0.000694132182311217,4.58295991743556e-07,8.04038289375432e-11,2.5e-07,0.025
"37",3.6,0.236926751960074,0.000675244525338819,4.28658947038577e-07,7.52042899268784e-11,2.5e-07,0.025
"38",3.7,0.227636951568886,0.000656467784237419,4.00673940858416e-07,7.02945833217567e-11,2.5e-07,0.025
"39",3.8,0.218711394776556,0.000637845512724826,3.74282747371641e-07,6.56644979773336e-11,2.5e-07,0.025
"40",3.9,0.210135800114201,0.000619415890206496,3.49426988518257e-07,6.1303788090879e-11,2.5e-07,0.025
"41",4,0.20189644600654,0.000601212205455632,3.26045280864174e-07,5.7201682317471e-11,2.5e-07,0.025
"42",4.1,0.193980149027298,0.000583263304018053,3.04072288871e-07,5.3346726331689e-11,2.5e-07,0.025
"43",4.2,0.186374242740858,0.000565594009557054,2.83442246667965e-07,4.97273781923768e-11,2.5e-07,0.025
"44",4.3,0.179066557297144,0.000548225511808796,2.64091080186817e-07,4.63323930532982e-11,2.5e-07,0.025
"45",4.4,0.172045399939952,0.000531175715321661,2.45955538955117e-07,4.3150680398063e-11,2.5e-07,0.025
"46",4.5,0.165299536354837,0.000514459555397619,2.28972592784566e-07,4.01711781839234e-11,2.5e-07,0.025
"47",4.6,0.158818172728128,0.000498089288216545,2.13080239578487e-07,3.73830105130126e-11,2.5e-07,0.025
"48",4.7,0.152590938461024,0.000482074758160603,1.98218574651355e-07,3.47756673004053e-11,2.5e-07,0.025
"49",4.8,0.146607869552557,0.000466423642155847,1.843299418528e-07,3.23390334093634e-11,2.5e-07,0.025
"50",4.9,0.140859392655032,0.000451141671668547,1.71358596956052e-07,3.00633290813256e-11,2.5e-07,0.025
"51",5,0.135336309767877,0.000436232834755751,1.5925072341725e-07,2.79391127344507e-11,2.5e-07,0.025
"52",5.1,0.130029783526677,0.000421699560708414,1.47954775376872e-07,2.59573411531386e-11,2.5e-07,0.025
"53",5.2,0.124931323060473,0.000407542888821473,1.37421644885323e-07,2.41093988295523e-11,2.5e-07,0.025
"54",5.3,0.120032770402637,0.000393762622195889,1.27604543961536e-07,2.23870772690747e-11,2.5e-07,0.025
"55",5.4,0.11532628743848,0.000380357467603553,1.1845888291829e-07,2.07825536410062e-11,2.5e-07,0.025
"56",5.5,0.110804343366756,0.000367325162702869,1.09942291334242e-07,1.92883944598807e-11,2.5e-07,0.025
"57",5.6,0.106459702651759,0.00035466259182553,1.02014655921684e-07,1.7897562231809e-11,2.5e-07,0.025
"58",5.7,0.102285413446321,0.000342365891294976,9.4638058351318e-08,1.66034045465856e-11,2.5e-07,0.025
"59",5.8,0.0982747964686535,0.00033043054507224,8.77766618419461e-08,1.53996341798038e-11,2.5e-07,0.025
"60",5.9,0.0944214343159809,0.0003188514715063,8.13966332047584e-08,1.4280315416323e-11,2.5e-07,0.025
"61",6,0.0907191611975073,0.000307623101965942,7.5466096594757e-08,1.32398559374751e-11,2.5e-07,0.025
"62",6.1,0.0871620530697307,0.000296739452068581,6.99550682752105e-08,1.22729953766737e-11,2.5e-07,0.025
"63",6.2,0.0837444181582702,0.000286194186131863,6.48353627701875e-08,1.13747888545854e-11,2.5e-07,0.025
"64",6.3,0.0804607878512848,0.00027598067540989,6.00804990189547e-08,1.05405905147196e-11,2.5e-07,0.025
"65",6.4,0.0773059079500417,0.00026609205063243,5.56656266409097e-08,9.76604058722742e-12,2.5e-07,0.025
"66",6.5,0.0742747302625769,0.000256521249345683,5.1567453253723e-08,9.04705263848391e-12,2.5e-07,0.025
"67",6.6,0.071362404526903,0.000247261058505617,4.77641631623098e-08,8.37979930543922e-12,2.5e-07,0.025
"68",6.7,0.0685642706508256,0.000238304152732427,4.42353339992473e-08,7.76069767111176e-12,2.5e-07,0.025
"69",6.8,0.0658758512559952,0.000229643128598646,4.09618605258073e-08,7.18639589617749e-12,2.5e-07,0.025
"70",6.9,0.0632928445142926,0.000221270535295611,3.79258843473833e-08,6.65376088837125e-12,2.5e-07,0.025
"71",7,0.0608111172650811,0.000213178901996951,3.51107240113419e-08,6.15986603889058e-12,2.5e-07,0.025
"72",7.1,0.0584266984022922,0.000205360762211057,3.25008050451045e-08,5.7019789482266e-12,2.5e-07,0.025
"73",7.2,0.0561357725207617,0.000197808675389021,3.00815933485255e-08,5.27754974048332e-12,2.5e-07,0.025
"74",7.3,0.0539346738116612,0.000190515246032197,2.78395332387849e-08,4.88420019398294e-12,2.5e-07,0.025
"75",7.4,0.0518198801972645,0.000183473140523884,2.57619885050395e-08,4.51971339990305e-12,2.5e-07,0.025
"76",7.5,0.0497880076956654,0.000176675101891451,2.38371852825438e-08,4.18202374008772e-12,2.5e-07,0.025
"77",7.6,0.0478358050064263,0.000170113962687926,2.20541574114702e-08,3.86920730076119e-12,2.5e-07,0.025
"78",7.7,0.0459601483084961,0.000163782656166083,2.04026951321915e-08,3.57947287160477e-12,2.5e-07,0.025
"79",7.8,0.0441580362620769,0.000157674225903536,1.88732968737907e-08,3.31115348751903e-12,2.5e-07,0.025
"80",7.9,0.0424265852064462,0.000151781834024215,1.74571234706507e-08,3.06269839636075e-12,2.5e-07,0.025
"81",8,0.0407630245460508,0.000146098768149417,1.61459546754261e-08,2.83266542954844e-12,2.5e-07,0.025
"82",8.1,0.0391646923174919,0.000140618447200389,1.49321482285078e-08,2.61971382118024e-12,2.5e-07,0.025
"83",8.2,0.0376290309303082,0.000135334426164025,1.38086014895452e-08,2.42259747664667e-12,2.5e-07,0.025
"84",8.3,0.0361535830747456,0.000130240399923854,1.27687153051829e-08,2.24015863356711e-12,2.5e-07,0.025
"85",8.4,0.0347359877899654,0.00012533020624948,1.18063601026306e-08,2.07132191320604e-12,2.5e-07,0.025
"86",8.5,0.0333739766864033,0.000120597828030105,1.09158439363478e-08,1.91508871458098e-12,2.5e-07,0.025
"87",8.6,0.032065370316234,0.000116037394830138,1.00918825521427e-08,1.7705319624662e-12,2.5e-07,0.025
"88",8.7,0.0308080746861361,0.000111643183838154,9.32957138849575e-09,1.63679119529248e-12,2.5e-07,0.025
"89",8.8,0.029600077906778,0.000107409620274249,8.62435936400884e-09,1.51306796639321e-12,2.5e-07,0.025
"90",8.9,0.028439446973666,0.000103331277315187,7.97202432124024e-09,1.39862153585071e-12,2.5e-07,0.025
"91",9,0.027324324674203,9.94028755914903e-05,7.36865005612323e-09,1.29276484051717e-12,2.5e-07,0.025
"92",9.1,0.026252926616012,9.56192823058261e-05,6.81060486902252e-09,1.19486073099313e-12,2.5e-07,0.025
"93",9.2,0.0252235383717682,9.19755100175992e-05,6.2945215440798e-09,1.10431845918626e-12,2.5e-07,0.025
"94",9.3,0.024234512735973,8.84667151346462e-05,5.81727865606093e-09,1.02059039876765e-12,2.5e-07,0.025
"95",9.4,0.0232842670892822,8.50881961491924e-05,5.37598312429595e-09,9.43168984418684e-13,2.5e-07,0.025
"96",9.5,0.0223712808661705,8.18353916518431e-05,4.96795394789251e-09,8.71583858321473e-13,2.5e-07,0.025
"97",9.6,0.0214940931218808,7.870387815425e-05,4.59070705273873e-09,8.05399211702614e-13,2.5e-07,0.025
